## 测试数据， 用于构建全局的类目矩阵， 执行模型预测 ##
#uid, time, type, classID
a01, 20130808010100, 1, c10@@@[['c10', 0.0], ['c10', 1.0]]
a02, 20130808010100, 1, c10@@@[['c10', 0.0], ['c10', 1.0]]

a01, 20130808010101, 1, c20@@@[['c10', 0.0], ['c20', 1.0]]
a02, 20130808010102, 1, c10@@@[['c20', 0.0], ['c10', 3.2]]

a01, 20130808010103, 1, c20@@@[['c20', 0.0], ['c20', 2.0]]
a03, 20130808010104, 1, c10@@@[['c20', 0.0], ['c10', 1.4285714285714286]]
a02, 20130808010105, 2, c20@@@[['c20', 0.0], ['c10', 1.0]]
a04, 20130808010106, 1, c20@@@[['c20', 0.0], ['c20', 1.0]]
a04, 20130809010107, 1, c10@@@[['c20', 0.0], ['c10', 1.0909090909090908]]

a01, 20130808010110, 1, c30@@@[['c30', 0.0], ['c20', 2.0]]

a02, 20130808010120, 1, c30@@@[['c30', 0.0], ['c10', 1.5]]
a04, 20130810030320, 1, c30@@@[['c30', 0.0], ['c10', 1.3333333333333333]]

